,Unnamed: 0,Station,id,Terminal,Latitude,Longitude,Docks,Ward
0,1,25 York St,303.0,7070.0,43.643667,-79.380414,11.0,10
1,2,51 Parliament St,17.0,7064.0,43.65205,-79.36219799999999,19.0,13
2,3,Augusta Ave / Dundas St W,412.0,7032.0,43.652175,-79.400913,15.0,10
3,4,Bathurst St / Queens Quay W,3996.0,7071.0,43.6354,-79.3984,23.0,10
4,5,Bay St / Albert St,327.0,7021.0,43.653264,-79.382458,23.0,13
5,6,Bay St / Bloor St W,265.0,7029.0,43.669429,-79.389326,15.0,11
6,7,Bay St / St Joseph St,290.0,7026.0,43.665527000000004,-79.387499,11.0,13
7,8,Bay St / Wellesley St W,129.0,7030.0,43.664088,-79.387095,35.0,11
8,9,Bloor St / Brunswick Ave,125.0,7061.0,43.665876000000004,-79.407224,25.0,11
9,10,Bond St / Queen St E,556.0,7045.0,43.653236,-79.376716,11.0,13
10,11,Bremner Blvd / Rees St,325.0,7018.0,43.641529,-79.386741,15.0,10
11,12,Bremner Blvd / Spadina Ave,322.0,7073.0,43.640903,-79.392895,15.0,10
12,13,Church St / Alexander St,304.0,7044.0,43.6636,-79.3806,15.0,13
13,14,Church St / Bloor St E,629.0,7034.0,43.671389000000005,-79.382919,15.0,11
14,15,College Park South,302.0,7077.0,43.659777000000005,-79.382767,19.0,11
15,16,Dundas St / Yonge St,32.0,7038.0,43.656094,-79.381484,15.0,13
16,17,Edward St / Yonge St,221.0,7041.0,43.656729,-79.382736,23.0,11
17,18,Fort York Blvd / Capreol Crt,44.0,7000.0,43.639832,-79.395954,31.0,10
18,19,Front St / Yonge St (Hockey Hall of Fame),1004.0,7048.0,43.646144,-79.377962,39.0,10
19,20,Front St W / Blue Jays Way,5.0,7059.0,43.643473,-79.390477,15.0,10
20,21,Gould St / Mutual St,555.0,7028.0,43.6582,-79.3768,31.0,13
21,22,Huron St / Harbord St,99.0,7058.0,43.6637,-79.400053,19.0,11
22,23,Jarvis St / Carlton St,31.0,7055.0,43.66207,-79.37617,15.0,13
23,24,Jarvis St / Isabella St,324.0,7031.0,43.669191999999995,-79.37912800000001,23.0,13
24,25,King St E / Jarvis St,795.0,7009.0,43.650325,-79.372287,11.0,13
25,26,King St W / Spadina Ave,14.0,7010.0,43.645323,-79.395003,19.0,10
26,27,Lower Jarvis St / The Esplanade,1089.0,7001.0,43.647991999999995,-79.37090699999999,15.0,10
27,28,Madison Ave / Bloor St W,2146.0,7003.0,43.667158,-79.402761,15.0,11
28,29,Metro Hall Plaza,848.0,7053.0,43.645859,-79.38783000000001,15.0,10
29,30,Navy Wharf Ct / Bremner Blvd,83.0,7054.0,43.640722,-79.391051,11.0,10
30,31,Niagara St / Richmond St W,420.0,7046.0,43.645340000000004,-79.40959699999999,15.0,10
31,32,Parliament St / Gerrard St,22.0,7056.0,43.661149,-79.366648,26.0,13
32,33,Phoebe St / Spadina Ave,53.0,7020.0,43.650033,-79.396555,32.0,10
33,34,Queen St W / Shaw St,522.0,7072.0,43.644524,-79.416519,15.0,10
34,35,Queen St W / Spadina Ave,126.0,7069.0,43.649147,-79.395504,11.0,10
35,36,Queens Park / Bloor St W,7.0,7063.0,43.668327000000005,-79.39355,18.0,11
36,37,Queens Quay W / Dan Leckie Way,60.0,7075.0,43.636533,-79.395854,26.0,10
37,38,Scott St / The Esplanade,1446.0,7013.0,43.64656,-79.375274,19.0,13
38,39,Sherbourne St / Wellesley St,786.0,7042.0,43.6673,-79.374,33.0,13
39,40,Simcoe St / Dundas St W,346.0,7039.0,43.653743,-79.38882,27.0,10
40,41,Simcoe St / Queen St W,827.0,7022.0,43.650858,-79.387582,19.0,10
41,42,Simcoe St / Wellington St W,8.0,7057.0,43.645533,-79.3854,23.0,10
42,43,Spadina Ave / Sussex Ave,135.0,7074.0,43.664137,-79.402496,27.0,11
43,44,St George St / Bloor St W,649.0,7002.0,43.667333,-79.399429,15.0,11
44,45,Temperance St / Yonge St,542.0,7019.0,43.650855,-79.379492,15.0,13
45,46,Union Station,4.0,7033.0,43.645565999999995,-79.37943800000001,19.0,10
46,47,University Ave / College St,259.0,7062.0,43.659226000000004,-79.390213,11.0,11
47,48,University Ave / Elm St,92.0,7004.0,43.656518,-79.389099,11.0,11
48,49,University Ave / Gerrard St W,258.0,7047.0,43.657763,-79.389165,11.0,11
49,50,University Ave / King St W,357.0,7005.0,43.648092999999996,-79.384749,19.0,10
50,51,Wellington St W / Bay St,368.0,7052.0,43.647331,-79.379673,27.0,13
51,52,Widmer St / Adelaide St,102.0,7017.0,43.647145,-79.391479,19.0,10
52,53,Willcocks St / St George St,248.0,7066.0,43.662237,-79.397716,16.0,11
53,54,York St / Queens Quay W,54.0,7076.0,43.640132,-79.380464,19.0,10
54,55,Dundas St E / Regent Park Blvd,,,43.660355700000004,-79.36180379999999,,13
55,56,Riverdale Park North (Broadview Ave),,,43.6707898,-79.35612540000001,,14
56,57,Danforth Ave / Lamb Ave,,,43.6821189,-79.32934809999999,,14
57,58,Dundas St E / Broadview Ave,,,43.6624391,-79.35134559999999,,14
58,59,Queen St W / Portland St,,,43.647714,-79.40141949999999,,10
59,60,Central Tech  (Harbord St),,,43.6619996,-79.40888129999999,,11
60,61,Central Tech  (Harbord St),,,43.6639967,-79.40875559999999,,11
61,62,Wellesley St / Queen's Park Cres,,,43.6635981,-79.3906219,,11
62,63,Sherbourne St / Carlton St (Allan Gardens),,,43.661758500000005,-79.37468179999999,,13
63,64,College St W / Major St,,,43.6549406,-79.41683979999999,,11
64,65,Bathurst Subway Station,,,43.6660011,-79.4112152,,11
65,66,424 Wellington St W,,,43.6438342,-79.3966495,,10
66,67,Ossington Ave / Bloor St W,,,43.6619827,-79.42562420000002,,11
67,68,Victoria St / Gould St (Ryerson University),,,43.657658500000004,-79.3788017,,13
68,69,Front St / Bay St (North Side),,,43.6461463,-79.3793173,,10
69,70,King St E / River St,,,43.656867999999996,-79.3561681,,13
70,71,College St W / Huron St,,,43.651567799999995,-79.4101974,,11
71,72,Bay St / College St (East Side),,,43.660909000000004,-79.39016600000001,,11
72,73,HTO Park (Queen's Quay W),,,43.6375849,-79.3884382,,10
73,74,Bathurst St / Fort York Blvd,,,43.6387685,-79.40061,,10
74,75,Beverly St / College St W,,,43.658713399999996,-79.3958657,,11
75,76,King St W / Tecumseth St,,,43.6433939,-79.4052578,,10
76,77,St George St / Hoskin Ave,,,43.66408,-79.398439,,11
77,78,Bay St / Queens Quay W (Ferry Terminal),,,43.641884000000005,-79.377214,,10
78,79,Beverly  St / Dundas St W,,,43.653814000000004,-79.3938243,,10
79,80,Macpherson Ave / Spadina Rd,,,43.6758521,-79.4074745,,12
80,81,Dundas St W / Crawford St,,,43.650064799999996,-79.4170615,,10
81,82,Elizabeth St / Edward St (Bus Terminal),,,43.6560524,-79.3846762,,11
82,83,Marlborough Ave / Yonge St,,,43.679879,-79.3907295,,11
83,84,Yonge St / Yorkville Ave,,,43.6719226,-79.3874532,,11
84,85,Kendal Ave / Bernard Ave,,,43.671699,-79.4083388,,11
85,86,Yarmouth Rd / Christie St,,,43.67002,-79.42092679999999,,11
86,87,Bloor St W / Christie St,,,43.6635591,-79.4184063,,11
87,88,Yonge St / Wood St,,,43.6620286,-79.383353,,13
88,89,161 Bleecker St (South of Wellesley),,,43.666598799999996,-79.37321740000002,,13
89,90,Queen St W / Ossington Ave,,,43.644171,-79.41885079999999,,10
90,91,Front St E / Cherry St,,,43.652632399999995,-79.3580917,,13
91,92,Cherry St / Mill St,,,43.6513499,-79.3573594,,13
92,93,Yonge St / Aylmer Ave,,,43.67558820000001,-79.3889658,,11
93,94,Queens Quay / Yonge St,,,43.6419596,-79.3746697,,10
94,95,Queens Quay W / Lower Simcoe St,,,43.6395925,-79.3827816,,10
95,96,Mill St / Tannery Rd,,,43.652153999999996,-79.3543446,,13
96,97,Wellington St W / Portland St,,,43.64319129999999,-79.39955490000001,,10
97,98,Hanna Ave / Liberty St,,,43.6385083,-79.4195451,,10
98,99,East Liberty St / Pirandello St,,,43.6386723,-79.4139607,,10
99,100,Augusta Ave / Denison Sq,,,43.6538727,-79.4017521,,11
100,101,College St W / Crawford St,,,43.65323720000001,-79.4182957,,11
101,102,Dockside Dr / Queens Quay E (Sugar Beach),,,43.6443346,-79.36781020000001,,10
102,103,Bathurst St / Dundas St W,,,43.6522958,-79.4060126,,10
103,104,Church St  / Wood St,,,43.6628044,-79.37973120000001,,13
104,105,Dundonald St / Church St,,,43.666700299999995,-79.3813459,,13
